City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
214,Eenhana,NA,-17.47,16.33,82.4,20,1,3.36,clear sky
215,Yellowknife,CA,62.46,-114.35,57.99,66,40,8.05,scattered clouds
216,Rexburg,US,43.83,-111.79,69.8,43,1,3.36,haze
217,Corralillo,CU,22.98,-80.59,88.2,68,69,16.89,broken clouds
218,Sitka,US,57.05,-135.33,55.4,93,90,3.36,light rain
219,Esperance,AU,-33.87,121.9,50.0,100,75,3.36,broken clouds
220,Celestun,MX,20.87,-90.4,87.39,63,9,8.9,clear sky
221,Sao Joao Da Barra,BR,-21.64,-41.05,75.2,50,75,11.41,broken clouds
222,Lingao,CN,19.91,109.69,80.17,82,60,6.58,broken clouds
223,Tateyama,JP,34.98,139.87,77.0,92,39,1.01,scattered clouds
224,Ostrovnoy,RU,68.05,39.51,59.16,87,100,17.9,overcast clouds
225,Sile,TR,41.18,29.61,77.0,66,0,4.0,clear sky
226,Tura,IN,25.52,90.22,74.43,95,61,4.12,moderate rain
227,Impfondo,CG,1.64,18.07,73.4,87,42,1.52,scattered clouds
228,Naryan-Mar,RU,67.67,53.09,57.07,84,15,10.94,few clouds
229,Kaduqli,SD,11.02,29.72,74.41,86,99,1.83,overcast clouds
230,Kruisfontein,ZA,-34.0,24.73,57.99,81,27,1.01,scattered clouds
231,Sao Desiderio,BR,-12.36,-44.97,91.15,27,34,6.42,scattered clouds
232,Port Augusta,AU,-32.5,137.77,42.8,87,40,2.24,scattered clouds
233,Alghero,IT,40.56,8.32,78.8,57,20,9.17,few clouds
234,Fare,PF,-16.7,-151.02,77.05,77,0,20.49,light rain
235,Boguchany,RU,58.38,97.45,53.31,85,5,1.72,clear sky
236,Klyuchi,RU,52.27,79.17,62.44,56,81,3.11,broken clouds
237,Bardiyah,LY,31.76,25.09,76.77,78,0,10.63,clear sky
238,Nouakchott,MR,18.09,-15.98,86.0,70,90,20.8,sand
239,High Level,CA,58.52,-117.14,57.2,93,90,5.82,overcast clouds
240,Waipawa,NZ,-41.41,175.52,53.6,87,98,19.46,light rain
241,Covington,US,39.08,-84.51,84.99,69,1,4.7,clear sky
242,Gizo,SB,-8.1,156.84,77.04,91,100,17.98,heavy intensity rain
243,Yulara,AU,-25.24,130.99,59.0,37,0,6.93,clear sky
244,Evensk,RU,61.95,159.23,41.67,67,96,8.61,overcast clouds
245,Mayor Pablo Lagerenza,PY,-19.93,-60.77,80.17,36,2,9.95,clear sky
246,Tiksi,RU,71.69,128.87,37.63,79,86,10.22,overcast clouds
247,Batagay,RU,67.63,134.63,34.79,94,97,3.27,overcast clouds
248,Norman Wells,CA,65.28,-126.83,60.8,67,20,11.41,few clouds
249,Krasnoselkup,RU,65.7,82.47,49.28,93,74,2.26,broken clouds
250,Minab,IR,27.15,57.08,89.6,70,0,4.7,clear sky
251,Kedrovyy,RU,56.17,91.82,53.6,93,40,2.24,fog
252,Nipawin,CA,53.37,-104.0,69.8,56,1,9.17,clear sky
253,Zyryanka,RU,65.75,150.85,34.75,89,98,7.25,overcast clouds
254,Darlawn,IN,24.02,92.9,68.18,100,83,1.81,light rain
255,Vila Velha,BR,-20.33,-40.29,73.4,60,75,16.11,broken clouds
256,Islampur,IN,26.27,88.2,78.8,94,40,2.24,scattered clouds
257,Pevek,RU,69.7,170.31,37.51,96,100,3.8,overcast clouds
258,Saint George,US,37.1,-113.58,93.99,31,1,3.36,clear sky
259,Jinchang,CN,38.5,102.17,70.99,34,3,7.99,clear sky
260,Juneau,US,58.3,-134.42,57.0,93,90,8.05,light rain
261,Saint Anthony,US,45.02,-93.22,88.0,62,40,5.79,scattered clouds
262,Mountain Home,US,43.13,-115.69,75.2,41,20,11.41,few clouds
263,Aklavik,CA,68.22,-135.01,60.8,72,75,9.17,broken clouds
264,Marawi,PH,8.0,124.29,75.99,89,45,5.01,scattered clouds
